Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-07
Horizontal Delay,0.0527
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.04
,
,
,
Label,
TIME,CH1
5.269816e-02,0.24
5.269816e-02,0.24
5.269817e-02,0.22
5.269817e-02,0.22
5.269817e-02,0.26
5.269817e-02,0.24
5.269817e-02,0.24
5.269817e-02,0.24
5.269817e-02,0.24
5.269817e-02,0.24
5.269817e-02,0.24
5.269817e-02,0.26
5.269817e-02,0.26
5.269817e-02,0.26
5.269817e-02,0.26
5.269817e-02,0.26
5.269817e-02,0.26
5.269817e-02,0.28
5.269817e-02,0.26
5.269817e-02,0.28
5.269817e-02,0.3
5.269817e-02,0.28
5.269817e-02,0.28
5.269817e-02,0.3
5.269817e-02,0.28
5.269817e-02,0.28
5.269817e-02,0.28
5.269818e-02,0.28
5.269818e-02,0.3
5.269818e-02,0.3
5.269818e-02,0.32
5.269818e-02,0.3
5.269818e-02,0.3
5.269818e-02,0.3
5.269818e-02,0.3
5.269818e-02,0.3
5.269818e-02,0.28
5.269818e-02,0.28
5.269818e-02,0.3
5.269818e-02,0.28
5.269818e-02,0.3
5.269818e-02,0.3
5.269818e-02,0.32
5.269818e-02,0.32
5.269818e-02,0.32
5.269818e-02,0.32
5.269818e-02,0.32
5.269818e-02,0.32
5.269818e-02,0.34
5.269818e-02,0.32
5.269818e-02,0.34
5.269818e-02,0.34
5.269819e-02,0.32
5.269819e-02,0.34
5.269819e-02,0.32
5.269819e-02,0.36
5.269819e-02,0.34
5.269819e-02,0.34
5.269819e-02,0.36
5.269819e-02,0.34
5.269819e-02,0.36
5.269819e-02,0.36
5.269819e-02,0.34
5.269819e-02,0.36
5.269819e-02,0.38
5.269819e-02,0.36
5.269819e-02,0.36
5.269819e-02,0.36
5.269819e-02,0.38
5.269819e-02,0.36
5.269819e-02,0.4
5.269819e-02,0.38
5.269819e-02,0.38
5.269819e-02,0.4
5.269819e-02,0.4
5.269819e-02,0.38
5.269819e-02,0.4
5.269820e-02,0.4
5.269820e-02,0.38
5.269820e-02,0.4
5.269820e-02,0.42
5.269820e-02,0.4
5.269820e-02,0.4
5.269820e-02,0.42
5.269820e-02,0.4
5.269820e-02,0.42
5.269820e-02,0.4
5.269820e-02,0.44
5.269820e-02,0.42
5.269820e-02,0.42
5.269820e-02,0.42
5.269820e-02,0.4
5.269820e-02,0.44
5.269820e-02,0.46
5.269820e-02,0.44
5.269820e-02,0.44
5.269820e-02,0.44
5.269820e-02,0.42
5.269820e-02,0.46
5.269820e-02,0.46
5.269820e-02,0.46
5.269820e-02,0.44
5.269821e-02,0.46
5.269821e-02,0.46
5.269821e-02,0.48
5.269821e-02,0.44
5.269821e-02,0.46
5.269821e-02,0.48
5.269821e-02,0.46
5.269821e-02,0.5
5.269821e-02,0.46
5.269821e-02,0.48
5.269821e-02,0.48
5.269821e-02,0.5
5.269821e-02,0.48
5.269821e-02,0.5
5.269821e-02,0.5
5.269821e-02,0.48
5.269821e-02,0.48
5.269821e-02,0.48
5.269821e-02,0.5
5.269821e-02,0.5
5.269821e-02,0.5
5.269821e-02,0.5
5.269821e-02,0.5
5.269821e-02,0.5
5.269821e-02,0.5
5.269822e-02,0.52
5.269822e-02,0.5
5.269822e-02,0.52
5.269822e-02,0.54
5.269822e-02,0.54
5.269822e-02,0.56
5.269822e-02,0.52
5.269822e-02,0.54
5.269822e-02,0.52
5.269822e-02,0.52
5.269822e-02,0.54
5.269822e-02,0.54
5.269822e-02,0.54
5.269822e-02,0.56
5.269822e-02,0.56
5.269822e-02,0.58
5.269822e-02,0.56
5.269822e-02,0.56
5.269822e-02,0.56
5.269822e-02,0.56
5.269822e-02,0.58
5.269822e-02,0.58
5.269822e-02,0.58
5.269822e-02,0.58
5.269822e-02,0.6
5.269823e-02,0.58
5.269823e-02,0.58
5.269823e-02,0.6
5.269823e-02,0.62
5.269823e-02,0.6
5.269823e-02,0.6
5.269823e-02,0.6
5.269823e-02,0.6
5.269823e-02,0.6
5.269823e-02,0.6
5.269823e-02,0.62
5.269823e-02,0.62
5.269823e-02,0.64
5.269823e-02,0.62
5.269823e-02,0.64
5.269823e-02,0.62
5.269823e-02,0.64
5.269823e-02,0.62
5.269823e-02,0.62
5.269823e-02,0.64
5.269823e-02,0.64
5.269823e-02,0.62
5.269823e-02,0.64
5.269823e-02,0.66
5.269823e-02,0.64
5.269824e-02,0.66
5.269824e-02,0.66
5.269824e-02,0.66
5.269824e-02,0.66
